DB_INSTANCE_NAME;OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;19;COD_IDENTIFICACAO_TRANS;NUMBER;22;Y;0;2;21148;1216635;NO;Código identificador do Arquivo no AIX, considerando Instituitaçao Arrecadadora e Sequencial do Arquivo (XX YYY SSSSSS). Incluído apenas para carga ETL do legado.; (: )
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;3;COD_REMESSA;NUMBER;22;N;0;3;12168;0;NO;"Código da remessa indicado no arquivo ""A"" - Header, na posiçao 2 a 2 do arquivo de DAE e GNRE.
Código da remessa indicado no arquivo ""1"" - Header, na posiçao 38 a 43 do arquivo de DAS";SYS_C001528286 (C: ENABLED)
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;12;DAT_CARGA_ARQUIVO;DATE;7;N;;8;1215872;0;NO;Data que foi realizada a carga dos dados do arquivo na tabela;SYS_C001528294 (C: ENABLED)
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;20;DAT_CARGA_ETL;DATE;7;Y;;8;495008;0;NO;Data de criação do registro, para uso de carga para a Nuvem; (: )
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;18;DAT_FIM_PROCESSAMENTO;DATE;7;Y;;8;515328;4;NO;Data/hora final do processamento do arquivo; (: )
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;4;DAT_GERACAO_ARQUIVO;DATE;7;N;;8;2536;0;NO;"Data de geraçao do arquivo de pagamento indicado no arquivo ""A"" - Header, na posiçao 66 a 73 do arquivo de DAE e GNRE.
Data de geraçao do arquivo de pagamento indicado no arquivo ""1"" - Header, na posiçao 30 a 37 do arquivo de DAS";SYS_C001528287 (C: ENABLED)
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;17;DAT_INICIO_PROCESSAMENTO;DATE;7;Y;;8;509632;4;NO;Data/hora de início de processamento do arquivo; (: )
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;13;DAT_PAGAMENTO_UTILIZADA;DATE;7;N;;8;2865;0;NO;"Data de pagamento que mais se repete como data de pagamento dos registros do tipo ""G"", do arquivo processado";SYS_C001528295 (C: ENABLED)
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;10;DSC_PASTA_DESTINO;VARCHAR2;150;Y;;41;6;2;NO;Descriçao do caminho de destino do arquivo; (: )
exaprod;RECEITA2;ARQUIVO_PAGAMENTO;"Mantém os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mantém dados do ""A""- HEADER e ""Z"" - TRAILLER.";1245806;N;9;DSC_PASTA_ORIGEM;VARCHAR2;150;N;;33;8;0;NO;Descriçao do caminho de origem do arquivo;SYS_C001528292 (C: ENABLED)
