DB_INSTANCE_NAME;OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;31;ADI_NOTURNO;VARCHAR2;8;Y;;;;;NO;; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;16;COD_REVISAO;NUMBER;22;Y;0;;;;NO;REVTYPE; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;27;NUM_HORAS_JORNADA;NUMBER;22;Y;0;;;;NO;Número de horas de jornada de trabalho; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;4;NUM_VAGAS;NUMBER;22;Y;0;;;;NO;Número de vagas do contrato; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;5;NUM_VAGAS_AUTORIZADAS;NUMBER;22;Y;0;;;;NO;Número de vagas autorizadas pela a Seplag.; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;6;QTD_CARGO;NUMBER;22;Y;0;;;;NO;QUANTIDAD DO CARGO; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;3;SEQ_CAT_CATEGORIA;NUMBER;22;Y;0;;;;NO;Sequencial da tabela Categoria; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;26;SEQ_CATEGORIA;NUMBER;22;Y;0;;;;NO;SEQ_CATEGORIA; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;1;SEQ_CATEGORIA_CONTRATO;NUMBER;22;Y;0;;;;NO;Sequencial da Categoria do Contrato; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;2;SEQ_CONTRATO;NUMBER;22;Y;0;;;;NO;Sequencial do Contrato; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;15;SEQ_REVISAO;NUMBER;22;N;0;;;;NO;REV;PK_CAT_CONTRATO_AUDITORIA (PRIMARY KEY: ENABLED)- SYS_C00249447 (C: ENABLED)
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;14;VLR_ADICIONAL_NOTURNO;NUMBER;22;Y;2;;;;NO;VALOR DO ADICIONAL NOTURNO; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;35;VLR_ADICIONAL_PERICULOSIDADE;NUMBER;22;Y;2;;;;NO;Valor do Adicional de Periculosidade; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;9;VLR_CESTA_BASICA;NUMBER;22;Y;2;;;;NO;VALOR DA CESTA BASICA; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;37;VLR_CUSTO_CATEGORIA;NUMBER;22;Y;2;;;;NO;; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;17;VLR_DIARIA;NUMBER;22;Y;2;;;;NO;VALOR DA DIARIA; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;8;VLR_ENCARGOS;NUMBER;22;Y;4;;;;NO;VALOR DOS ENCARGOS; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;11;VLR_FARDA;NUMBER;22;Y;2;;;;NO;VALOR DA FARDA; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;18;VLR_HORAEXTRA_DI_DF;NUMBER;22;Y;2;;;;NO;VLR_HORAEXTRA_DI_DF; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;19;VLR_HORAEXTRA_DI_DU;NUMBER;22;Y;2;;;;NO;VLR_HORAEXTRA_DI_DU; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;20;VLR_HORAEXTRA_DSR_DF;NUMBER;22;Y;2;;;;NO;VLR_HORAEXTRA_DSR_DF; (: )
exabdp;SGT;CAT_CONTRATO_AUDITORIA;Categoria do contrato auditoria;;N;21;VLR_HORAEXTRA_DSR_DU;NUMBER;22;Y;2;;;;NO;VLR_HORAEXTRA_DSR_DU; (: )
