DB_INSTANCE_NAME;OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;4;COD_ACRESCIMO_DEDUCAO;NUMBER;22;Y;0;3;9;0;NO;"Código do acréscimo/dedução. Referencia: codigo.Domínio:
Disponível nas Tabelas Aduaneiras";FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY: ENABLED)
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;2;COD_MOEDA;NUMBER;22;Y;0;4;10;0;NO;"Moeda negociada para o acréscimo/dedução. Referencia:
moeda. Domínio: Tabela de moedas.";FK_MOEDA_R_ACRESCIMO_DEDUCAO (FOREIGN KEY: ENABLED)
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;3;COD_TIPO_OPERACAO;NUMBER;22;Y;0;3;2;0;NO;"Tipo da operação (acréscimo ou dedução). Referencia:
tipoOperacao.
Domínio: 1 - Acréscimo , 2 – Dedução";FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY: ENABLED)
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;1;SEQ_ACRESCIMO_DEDUCAO;NUMBER;22;N;0;4;3457;0;NO;SEQ ACRESCIMO DEDUCAO;PK_ACRESCIMO_DEDUCAO (PRIMARY KEY: ENABLED)- SYS_C001546796 (C: ENABLED)
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;5;SEQ_ITEM;NUMBER;22;Y;0;5;3148;0;NO;SEQ ITEM;FK_ITEM_DUIMP_R_ACRESCIMO_DED (FOREIGN KEY: ENABLED)
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;6;VLR_ACRESC_DED_MOEDA_NEGOCIADA;NUMBER;22;Y;2;5;1967;0;NO;; (: )
exaprod;SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;3457;N;7;VLR_ACRESC_DED_REAL;NUMBER;22;Y;2;5;2182;0;NO;; (: )
exaprod;SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;51;N;2;COD_ALCANCE;NUMBER;22;Y;0;3;21;0;NO;CODIGO DO TERMO DE ACORDO; (: )
exaprod;SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;51;N;3;SEQ_ALCANCE_BENEFICIO;NUMBER;22;N;0;3;51;0;NO;;SYS_C001560209 (C: ENABLED)
exaprod;SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;51;N;1;SEQ_BENEFICIO;NUMBER;22;Y;0;3;9;0;NO;SEQUENCIAL DA TABELA DE BENEFICIOS;FK_ALCANCE_R_BENEFICIO (FOREIGN KEY: ENABLED)
