DB_INSTANCE_NAME;OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;31;COD_CNPJ_DUTOVIARIO;NUMBER;22;Y;0;2;28;40249226;NO;CNPJ da empresa do duto por onde passou a carga.; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;65;COD_CNPJ_DUTOVIARIO_A;VARCHAR2;14;Y;;2;28;40249226;NO;CNPJ no formato alfanumerico conforme o novo padrao; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;24;COD_CNPJ_TRANSPORTADORA;NUMBER;22;Y;0;4;97280;27699307;NO;CNPJ da transportadora ou empresa condutora que trouxe a carga.; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;66;COD_CNPJ_TRANSPORTADORA_A;VARCHAR2;14;Y;;6;96856;27698712;NO;CNPJ no formato alfanumerico conforme o novo padrao; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;3;COD_CONFIG_ORGAO;NUMBER;22;Y;0;3;1;4178;NO;Codigo do Posto ou outro Org?o Local que tenha base de dados local.;FK_ACE_R_ACA_FIS (FOREIGN KEY: ENABLED)
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;27;COD_CPF_MOTORISTA;NUMBER;22;Y;0;4;560384;25343908;NO;CPF do motorista que trouxe a carga.; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;56;COD_CPF_RESP_DEVOL;NUMBER;22;Y;0;2;528;40226984;NO;; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;54;COD_CPF_RESP_ENTREGA;NUMBER;22;Y;0;2;1140;40225507;NO;; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;30;COD_IDENTIDADE_MOTORISTA;VARCHAR2;35;Y;;3;449664;33833007;NO;RG do motorista que trouxe a carga.; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;37;COD_ORGAO_LOCAL;NUMBER;22;N;0;5;69;0;NO;Codigo do org?o local onde a ac?o fiscal de transito foi aberta.;FK_ORG_LOC_R_ACA_FIS (FOREIGN KEY: ENABLED)- SYS_C00190173 (C: ENABLED)
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;51;COD_RESPONSAVEL;NUMBER;22;Y;0;5;3161088;15542944;NO;CPF, CNPJ ou IE do responsavel.; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;67;COD_RESPONSAVEL_A;VARCHAR2;14;Y;;8;3506944;15195073;NO;CNPJ no formato alfanumerico conforme o novo padrao; (: )
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;13;COD_UF_PLACA_PRINCIPAL;NUMBER;22;Y;0;2;27;38177131;NO;UF da placa primaria.;FK_UNI_FED_R_ACA_FIS_PRI (FOREIGN KEY: ENABLED)
exaprod;SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;40249392;N;15;COD_UF_PLACA_SECUNDARIA1;NUMBER;22;Y;0;2;27;39714620;NO;UF da primeira placa secundaria.;FK_UNI_FED_R_ACA_FIS_PS1 (FOREIGN KEY: ENABLED)
